Species name,,,Chinese name,,Site 1,區域總個數,百分比,香農指數,辛普森指數,,Site 2,區域總個數,百分比,香農指數,辛普森指數,,Site 3,區域總個數,百分比,香農指數,辛普森指數
Riparia chinensis ,,,,棕沙燕,6,184,0.033,0.112,0.001,棕沙燕,4,232,0.017,0.070,0.000,棕沙燕,,200,0.000,,0.000
Schoeniparus brunneus brunneus,,,,頭烏線,,184,0.000,,0.000,頭烏線,,232,0.000,,0.000,頭烏線,10,200,0.050,0.150,0.003
Streptopelia chinensis ,,,,斑頸鳩,10,184,0.054,0.158,0.003,斑頸鳩,9,232,0.039,0.126,0.002,斑頸鳩,,200,0.000,,0.000
Streptopelia orientalis orii,,,,金背鳩,,184,0.000,,0.000,金背鳩,,232,0.000,,0.000,金背鳩,3,200,0.015,0.063,0.000
Streptopelia tranquebarica humilis ,,,,紅鳩,24,184,0.130,0.266,0.017,紅鳩,43,232,0.185,0.312,0.034,紅鳩,,200,0.000,,0.000
Treron sieboldii sieboldii ,,,,綠鳩,,184,0.000,,0.000,綠鳩,,232,0.000,,0.000,綠鳩,4,200,0.020,0.078,0.000
Urocissa caerulea,,,,台灣藍鵲,,184,0.000,,0.000,台灣藍鵲,,232,0.000,,0.000,台灣藍鵲,7,200,0.035,0.117,0.001
Yungipicus canicapillus kaleensis ,,,,小啄木,,184,0.000,,0.000,小啄木,,232,0.000,,0.000,小啄木,1,200,0.005,0.026,0.000
,,,,,184,,,2.570,0.905,,232,,,2.821,0.912,,200,,,2.784,0.915
,,,,,,,,,,,,,,,,,,,,,
各指數,物種豐富度,香農指數,辛普森指數,,,,,,,,,,,,,,,,,,
SITE 1,19,2.57,0.905,,,,,,,,,,,,,,,,,,
SITE 2,30,2.821,0.912,,,,,,,,,,,,,,,,,,
SITE 3,27,2.784,0.915,,,,,,,,,,,,,,,,,,
